GeoHash,ident,type,name,latitude_deg,longitude_deg
4syn1wrpn82p3p3ghgtsk,SCRM,small_airport,Teniente Rodolfo Marsh Martin Airport,-62.191026,-58.98669
4u8nbkj858xxr3shvmdr8,SA47,small_airport,Petrel Airport,-63.479,-56.2313
4w21zqwh1rb04jpbgjz5t,SA15,small_airport,Lago Fagnano North Airport,-54.499699,-67.173103
4w21zqwubfzysd3jcjqq0,SAWL,small_airport,Tolhuin Lago Fagnano Airport,-54.499596,-67.172084
4wsxxk2why3rp985qbdvx,FK-0012,small_airport,Port Stephens Airport,-52.09473,-60.852379
4wszn2r8wz6pq5cx971yh,FK-0013,small_airport,Port Abermarle Airport,-52.205532,-60.535062
4wtpsjpmpdw2e2t3cwqv1,FK-0032,small_airport,Port Edgar Airport,-52.090803,-60.282682
4wtvwt2s4tvgpez11p29b,FK-0034,small_airport,Sea Lion Island Airstrip,-52.441146,-59.127616
4wtvxxszsb35xcpwzsqjt,FK-0003,small_airport,Sea Lion Lodge Airstrip,-52.428215,-59.077744
4wtw0nj18fqvxq195dtn7,FK-0023,small_airport,George Island Airport,-52.349583,-59.758717
4wtwb7z6u0yqw6vny1698,FK-0026,small_airport,Speedwell Island Airport,-52.2299,-59.744502
4wtz2zpzv1t4jqn074gmn,FK-0019,small_airport,North Arm Airport,-52.123295,-59.370239
4wu3ndg08scprh4tnbzms,FK-0029,small_airport,Beaver Island Airport,-51.84025,-61.23365
4wu3teb4ffgjtepydpu3w,FK-0018,small_airport,New Island Airport,-51.746491,-61.281616
4wu8yh3d7h726nbn8ug7r,FK-0028,small_airport,Weddell Island Airport,-51.875659,-60.90601
4wucwd0hgzwwzxg87033t,FK-0015,small_airport,Shallow Harbour Airport,-51.755735,-60.534498
4wugghg60ur291kpbz5kp,FK-0004,small_airport,West Point Island Landing Strip,-51.34561157,-60.68397141
4wuum5wpqnzjgdgbbme6z,FK-0011,small_airport,Carcass Island Landing Strip,-51.26367188,-60.59207916
4wv10ku8kq0x0fztyznss,FK-0007,small_airport,Spring Point Landing Strip,-51.82929993,-60.45140076
4wv194wdcn358yn1eys9x,FK-0014,small_airport,Dunnose Head Airport,-51.753339,-60.415834
4wv23jz7ghvk8vrnv42dv,FK-0035,small_airport,Fox Bay East Airstrip,-51.955049,-60.06315
4wv293b2r3ub0wxh8jjnf,FK-0001,small_airport,Fox Bay Clay Airstrip,-51.933694,-60.061595
4wv3c0zcjw3s7prbhuhss,FK-0017,small_airport,Chartres Airport,-51.719307,-60.062361
4wv4f99c1zyd66sen5hk8,FK-0006,small_airport,Roy Cove Landing Strip,-51.53939819,-60.35639954
4wv4zruhvnfv9767v2u5x,FK-0016,small_airport,Hill Cove Airport,-51.504427,-60.144435
4wv78wfsu58p2nexn05wf,FK-0010,small_airport,Saunders Island Landing Strip,-51.37810135,-60.09160995
4wvdmsj70vw862hjscbyc,FK-0033,small_airport,Port Howard Airstrip,-51.613225,-59.516675
4wvdtk2fh32t3gtq5pyhg,FK-0009,small_airport,Port Howard Purvis Pond Airstrip,-51.5681,-59.533699
4wvs5e64yfmcgwtgczqg9,FK-0002,small_airport,Pebble Island Landing Strip,-51.30978775,-59.60877228
4wvshe1hpv4qhwd44cmjr,FK-0036,small_airport,Pebble Island Beach Airstrip,-51.310931,-59.566162
4wwphssm6c6wmwuvq1tq6,FK-0027,small_airport,Bleaker Island Airport,-52.181403,-58.858788
4wy11ye6v9dw6ggub5v9u,FK-0005,small_airport,Goose Green Airfield,-51.819282,-58.980893
4wy2jwrr90bc2jbpvjz7j,FK-0022,small_airport,Lively Island Airport,-51.995626,-58.459238
4wy3njbn39bqe6brsk0nm,EGYP,medium_airport,Mount Pleasant Airport,-51.82279968,-58.44720078
4wy5126vh1mtw0b5uhz7j,FK-0008,small_airport,Port San Carlos Landing Strip,-51.50166702,-59.00361252
4wy760pbn7e2yyvtc15kw,FK-0024,small_airport,Douglas Station Airport,-51.459942,-58.612131
4wy7rs1zces2z8zdfcs2q,FK-0020,small_airport,Salvador Airport,-51.436639,-58.378874
4wycvnzsur73k0q7yqbxm,SFAL,medium_airport,Port Stanley Airport,-51.68569946,-57.77759933
4x25yt55wkmmpzxnbchtd,AR-0690,small_airport,Río Seco Airport,-48.53148,-67.20996
4x2kx0z3g6ek4f6zpfwd0,AR-0692,small_airport,Laguna Salada Airport,-48.4233,-66.83072
